"n","muPredicted"
0,0.0408019954507561
0,0.0552283436547599
0,0.0190454053004049
0,0.0386545303903836
0,0.0367950819011845
0,0.0375662067964091
1,0.0154219857706966
0,0.00201141956291927
0,0.0274110998542531
0,0.037773706431345
0,0.0970442092937512
0,0.0368277957796134
0,0.0267957002765853
0,0.0451358862748281
0,0.0462723449401986
0,0.0165419996334987
0,0.000913581834886615
0,0.0380196429083322
0,0.0855554157848088
0,0.0952229342721452
0,0.0922454654346703
0,0.00751324135928181
0,0.00693096301010068
0,0.00903849743070065
0,0.0811657774047836
0,0.0981262918716418
0,0.0459515950629274
0,0.0753851155919843
0,0.0293510903262171
0,0.0922454654346703
0,0.0666213258672371
0,0.0169460141857804
0,0.0523605417734815
0,0.00581133945097616
0,0.0979349823461966
0,0.0232709486369558
0,0.0362628462357579
0,0.00693096301010068
0,0.0340441301770778
0,0.0876361782557732
0,0.0227526371712109
0,0.0163086713861668
0,0.0970442092937512
0,0.032328278678546
0,0.0132281709916247
0,0.0935683679199671
0,0.0192173341877407
0,0.0825691078402847
0,0.0234608111379918
0,0.00518869593837157
1,0.028535765789091
0,0.0142033531053867
0,0.00835792598276847
0,0.0570347032582016
1,0.0809440129856448
0,0.0220276086792983
0,0.0623369423429963
0,0.00405379433614304
0,0.0125667071490057
0,0.00193682087800728
0,0.0155660878151147
0,0.0997937892771652
0,0.00212052304347078
0,0.0329239403759308
0,0.0423651661021837
0,0.0109831927290117
0,0.0333619605237783
0,0.0811657774047836
0,0.0319612629072206
0,0.0114793499996055
0,0.0743668785846272
0,0.0932108371552931
0,0.0237819538586646
0,0.0408019954507561
0,0.00690757070360064
0,0.0253952447870189
0,0.0316325543433598
0,0.0104098403952202
0,0.00764471253218466
0,0.0109831927290117
0,0.0448112748746877
0,0.039949812742649
0,0.0364894817296477
0,0.0626497554647281
0,0.0621824709623497
0,0.0671831287999652
0,0.0872459134765527
1,0.0762731787313951
0,0.073326005028494
0,0.0170686077311286
0,0.0646754718250268
0,0.0241993607136127
0,0.0359073698212249
0,0.016594211394084
0,0.024672813012676
0,0.0302245315616873
0,0.114700667315897
1,0.0811657774047836
0,0.0598145178618499
0,0.0776175466985635
0,0.0896260929751312
0,0.0443161934884684
0,0.0507267120434041
0,0.075526942139703
0,0.0903949772537764
0,0.0210296775638029
0,0.00546225391267608
0,0.0399357738361024
0,0.115456947477261
1,0.0917798152829287
0,0.0859250315955531
0,0.0758403319411125
0,0.0390719399582461
0,0.0920236915635057
0,0.0316810726935213
0,0.0635588358862688
0,0.100451780767744
1,0.150310420174747
0,0.164711418514842
0,0.0260246009880505
0,0.0735457750147496
0,0.0674096373811769
0,0.0907332446898396
0,0.0661646493289698
0,0.0364894817296477
0,0.0739472523518102
1,0.084555227508949
0,0.105446219930271
0,0.033561177931594
0,0.0756260288285303
0,0.125244624490292
0,0.109999820294754
0,0.14369759424278
0,0.0477124361345676
0,0.01753125937849
0,0.0190454053004049
0,0.00876544825249546
0,0.00468996792660302
0,0.0453657275266688
0,0.00581133945097616
0,0.060535622846187
0,0.0386590783768994
0,0.0197116510184917
0,0.0134771240950078
0,0.0194318025205593
0,0.0284340537422762
0,0.0409190100756421
0,0.0399849772922908
0,0.00492791275462293
0,0.0034919800326523
0,0.0663237102860061
0,0.0446868125537978
0,0.00619168239393774
0,0.102157081975052
0,0.115014057117307
0,0.0560806115416594
0,0.062714200193428
0,0.0239880203770478
0,0.0162786896117773
0,0.10120616861629
0,0.0192173341877407
0,0.0283673562086211
0,0.0373048891426007
0,0.0335420404889316
0,0.0946578762783311
0,0.087874291228336
0,0.0913933680478802
0,0.0106002963683893
0,0.083302652584342
0,0.0123655636800059
0,0.0530331744325847
0,0.0622980061105664
0,0.0708959063368555
0,0.0165812833327634
0,0.0415735014456172
0,0.0373048891426007
0,0.0321832538181139
0,0.0371010372893625
0,0.0510054302414448
0,0.00185973057404633
0,0.0746402862264825
0,0.00518914121704228
0,0.0371010372893625
0,0.0364775283180235
0,0.0464759067014892
0,0.0743616830656196
0,0.0846988553994289
0,0.0228527758011489
0,0.132759203447755
0,0.0456842605004871
0,0.0492144302153246
0,0.050030139003424
0,0.0970442092937512
0,0.034653646986652
0,0.00994876999965807
0,0.0266074389986711
0,0.0304588906853001
0,0.0113854309724005
0,0.0378130144142651
0,0.0489399678920892
0,0.0790493923176084
0,0.0118138970646799
0,0.0125634207665327
0,0.0542572509290282
0,0.0790809878391309
0,0.0809440129856448
0,0.0811657774047836
0,0.022226672354542
0,0.0751494208842935
1,0.0420757435074227
0,0.0259604074575107
1,0.0241993607136127
0,0.0382078384237481
0,0.0388926977423753
